,X,TEMP: Step-1,TEMP: Step-2,TEMP: Step-3,TEMP: Step-4,TEMP: Step-5,TEMP: Step-6,TEMP: Step-7,TEMP: Step-8,TEMP: Step-9,TEMP: Step-10,TEMP: Step-11,TEMP: Step-12,TEMP: Step-13,TEMP: Step-14,TEMP: Step-15,TEMP: Step-16,TEMP: Step-17,TEMP: Step-18,TEMP: Step-19,TEMP: Step-20,TEMP: Step-21,TEMP: Step-22,TEMP: Step-23,TEMP: Step-24,TEMP: Step-25,TEMP: Step-26,TEMP: Step-27,TEMP: Step-28
20,0.2,12.0035,12.0454,12.2005,13.9265,16.8178,20.1228,23.4883,26.7839,29.9677,33.0315,35.9795,38.8195,41.5602,44.2098,46.738,49.0073,50.9342,52.5227,53.7996,54.7894,55.5074,55.9581,56.133,56.0044,55.5065,55.2553,54.9325,54.4934
21,0.21,12.0021,12.0301,12.1418,13.5435,16.0576,19.0445,22.1569,25.2508,28.2717,31.2018,34.0383,36.7842,39.4444,42.0243,44.5005,46.7574,48.7105,50.3519,51.7003,52.7755,53.5909,54.1508,54.4483,54.46,54.1301,53.9426,53.6938,53.3493
22,0.22,12.0013,12.0199,12.0998,13.2329,15.4087,18.097,20.9659,23.863,26.7236,29.5213,32.2471,34.899,37.4786,39.9885,42.4103,44.6469,46.6153,48.2982,49.7068,50.8564,51.758,52.4156,52.8234,52.9616,52.7826,52.6521,52.4682,52.2048
23,0.23,12.0008,12.0131,12.0699,12.9821,14.8565,17.2665,19.9027,22.609,25.3125,27.9798,30.5959,33.1545,35.6536,38.0936,40.4591,42.6689,44.6432,46.3575,47.8161,49.0297,50.0072,50.7518,51.2585,51.5103,51.4669,51.3874,51.2607,51.0671
24,0.24,12.0005,12.0086,12.0488,12.7802,14.3879,16.5404,18.9556,21.4779,24.0285,26.5679,29.0758,31.5419,33.9612,36.3315,38.6394,40.8171,42.7893,44.5259,46.0249,47.2931,48.3368,49.1584,49.7535,50.1073,50.1853,50.1514,50.0753,49.9421
25,0.25,12.0003,12.0056,12.0339,12.6182,13.9916,15.9073,18.1139,20.4596,22.8621,25.2765,27.6783,30.0533,32.3935,34.6945,36.9442,39.0857,41.0487,42.7993,44.3302,45.6442,46.7452,47.6346,48.3082,48.7533,48.9399,48.9466,48.9153,48.8347
26,0.26,12.0002,12.0036,12.0234,12.4887,13.6574,15.3567,17.3676,19.5449,21.8045,24.0977,26.3957,28.6811,30.9434,33.1758,35.3669,37.4688,39.4167,41.1741,42.7291,44.0807,45.2308,46.1794,46.9225,47.4487,47.7322,47.7752,47.7836,47.7488
27,0.27,12.0001,12.0024,12.0161,12.3854,13.3765,14.8794,16.7076,18.7252,20.8478,23.0236,25.2206,27.4184,29.604,31.7686,33.9013,35.961,37.8889,39.6466,41.2185,42.6005,43.7918,44.7916,45.5957,46.1938,46.5636,46.6388,46.6823,46.6876
28,0.28,12.0001,12.0015,12.0111,12.3033,13.1412,14.4667,16.1256,17.9926,19.9843,22.0471,24.1462,26.2586,28.369,30.4671,32.5415,34.5573,36.4608,38.2132,39.7957,41.2011,42.4267,43.4703,44.3274,44.9889,45.435,45.5388,45.6133,45.6536
29,0.29,12,12.001,12.0076,12.2383,12.9446,14.1111,15.6139,17.3397,19.2072,21.1617,23.1663,25.1957,27.2327,29.2653,31.282,33.2526,35.1283,36.8705,38.4579,39.8805,41.1337,42.2141,43.117,43.8339,44.3472,44.4762,44.578,44.6489
30,0.3,12,12.0006,12.0051,12.1869,12.781,13.8058,15.1657,16.7597,18.5099,20.3611,22.2748,24.2239,26.1894,28.1581,30.1179,32.0423,33.8874,35.6151,37.2021,38.6363,39.911,41.0218,41.9637,42.7285,43.3007,43.4518,43.5776,43.6751
31,0.31,12,12.0004,12.0035,12.1465,12.6454,13.5447,14.7746,16.2465,17.8865,19.6397,21.4663,23.3379,25.2341,27.1403,29.0441,30.922,32.7343,34.4438,36.0259,37.4663,38.7569,39.8922,40.8667,41.6725,42.2957,42.4661,42.6129,42.7335
32,0.32,12,12.0003,12.0024,12.1148,12.5335,13.3226,14.435,15.7943,17.3314,18.992,20.7356,22.5327,24.3618,26.2073,28.0563,29.8875,31.6651,33.3533,34.9264,36.3684,37.6697,38.8239,39.825,40.6655,41.3325,41.5195,41.6844,41.8251
33,0.33,12,12.0002,12.0016,12.09,12.4417,13.1346,14.1416,15.3981,16.8396,18.4131,20.0779,21.8037,23.5682,25.3547,27.15,28.9348,30.6765,32.3407,33.901,35.3403,36.6476,37.8155,38.8377,39.7068,40.4109,40.6122,40.7926,40.9505
34,0.34,12,12.0001,12.0011,12.0708,12.3668,12.9767,13.8901,15.0532,16.4064,17.8985,19.4888,21.1466,22.8488,24.5783,26.3214,28.0602,29.765,31.4029,32.9473,34.3799,35.6887,36.8656,37.9038,38.7958,39.5308,39.7441,39.9376,40.1101
35,0.35,12,12.0001,12.0007,12.056,12.3064,12.8452,13.6762,14.7552,16.0276,17.4439,18.9642,20.5573,22.1999,23.8742,25.5665,27.2599,28.9272,30.537,32.0626,33.485,34.7913,35.9727,37.022,37.9318,38.6919,38.9151,39.1195,39.3041
36,0.36,12,12,12.0005,12.0447,12.2582,12.7372,13.4963,14.5003,15.6992,17.0455,18.5,20.0319,21.6175,23.2389,24.8819,26.5307,28.1601,29.7402,31.2446,32.6535,33.9536,35.1353,36.1912,37.1139,37.8936,38.1248,38.3381,38.5326
37,0.37,12,12,12.0003,12.0363,12.2205,12.6498,13.3474,14.2852,15.4176,16.6996,18.093,19.5671,21.0984,22.6688,24.2642,25.8692,27.4606,29.0098,30.4907,31.8833,33.1737,34.352,35.4103,36.3413,37.1355,37.3728,37.5931,37.7956
38,0.38,12,12,12.0002,12.0302,12.1919,12.581,13.2266,14.1067,15.1797,16.403,17.7396,19.1594,20.6392,22.1608,23.7101,25.2724,26.8259,28.3432,29.7986,31.1723,32.4499,33.621,34.6779,35.6129,36.4169,36.6586,36.8841,37.0925
39,0.39,12,12,12.0002,12.0261,12.1712,12.5288,13.1315,13.9621,14.9826,16.1527,17.4368,18.8058,20.2368,21.7117,23.2167,24.7374,26.2531,27.7377,29.1661,30.5184,31.7802,32.941,33.9927,34.9276,35.7369,35.9815,36.2105,36.4232
40,0.4,12,12,12.0002,12.0236,12.1575,12.4917,13.0602,13.8491,14.8237,15.946,17.182,18.5036,19.8884,21.3189,22.7812,24.2614,25.7397,27.1909,28.5907,29.9195,31.1629,32.3102,33.3533,34.2844,35.0949,35.3408,35.5717,35.787
41,0.4,12,12,12.0002,12.0099,12.0739,12.251,12.5784,13.0639,13.6964,14.457,15.3249,16.2807,17.3074,18.3907,19.5186,20.6798,21.8603,23.0427,24.2085,25.3412,26.4272,27.4553,28.4165,29.3028,30.1061,30.357,30.5975,30.8271
42,0.41,12,12,12,12.0071,12.0558,12.1976,12.4695,12.8841,13.4359,14.1102,14.8897,15.7572,16.6971,17.6959,18.7421,19.825,20.9322,22.048,23.1553,24.2385,25.2841,26.281,27.2201,28.0932,28.8925,29.1438,29.3858,29.618
43,0.420447,12,12,12,12.0049,12.0415,12.1534,12.3765,12.7268,13.2034,13.7961,14.4907,15.2725,16.1272,17.0426,18.0077,19.0125,20.0457,21.0933,22.1399,23.1707,24.1726,25.1346,26.0475,26.9032,27.6939,27.9441,28.186,28.4192
44,0.431361,12,12,12,12.0034,12.0304,12.1174,12.2981,12.5905,12.9979,13.514,14.1279,14.827,15.5989,16.4325,17.3174,18.2444,19.2034,20.1819,21.1659,22.1417,23.0968,24.0204,24.9033,25.7374,26.515,26.7625,27.0027,27.2353
45,0.442764,12,12,12,12.0023,12.0218,12.0885,12.2327,12.4739,12.8183,13.2632,13.8008,14.4208,15.1128,15.8665,16.6727,17.5229,18.4078,19.3165,20.2366,21.1552,22.0607,22.9426,23.7918,24.6003,25.3605,25.6038,25.8408,26.0712
46,0.454676,12,12,12,12.0015,12.0154,12.0656,12.1791,12.3753,12.663,13.0425,13.5087,14.0538,14.6689,15.3454,16.0748,16.8494,17.6609,18.4998,19.3549,20.2147,21.0683,21.9055,22.7175,23.4966,24.2352,24.4729,24.7052,24.9318
47,0.46712,12,12,12,12.001,12.0107,12.0479,12.1357,12.2931,12.5304,12.8503,13.2504,13.7251,14.2672,14.8694,15.5244,16.2252,16.9645,17.7338,18.5236,19.3233,20.1229,20.9129,21.6847,22.4308,23.1439,23.3745,23.6006,23.8219
48,0.480121,12,12,12,12.0006,12.0073,12.0343,12.1012,12.2255,12.4185,12.685,13.0245,13.4336,13.9069,14.4384,15.0218,15.651,16.3196,17.0203,17.7448,18.4837,19.2279,19.9684,20.6973,21.4072,22.0911,22.3133,22.5318,22.7464
49,0.493703,12,12,12,12.0004,12.0049,12.0241,12.0741,12.1708,12.3256,12.5445,12.8292,13.1779,13.5869,14.0516,14.5667,15.127,15.7271,16.3606,17.0203,17.6982,18.386,19.0754,19.7591,20.4299,21.0812,21.2939,21.5036,21.7101
50,0.507893,12,12,12,12.0002,12.0032,12.0166,12.0533,12.1272,12.2494,12.4268,12.6624,12.9561,13.3057,13.7078,14.1584,14.653,15.1871,15.7553,16.3515,16.9687,17.5996,18.2368,18.8733,19.5026,20.1185,20.3205,20.5202,20.7174
51,0.522717,12,12,12,12.0001,12.002,12.0112,12.0376,12.0931,12.1879,12.3295,12.5218,12.766,13.0614,13.4056,13.7957,14.2282,14.6993,15.2045,15.7388,16.2962,16.8704,17.4548,18.0429,18.6288,19.2066,19.397,19.5857,19.7727
52,0.538204,12,12,12,12.0001,12.0013,12.0074,12.026,12.0668,12.1391,12.2503,12.4049,12.6053,12.8516,13.1429,13.477,13.8513,14.2627,14.7079,15.1825,15.6816,16.1997,16.7312,17.2702,17.8113,18.349,18.527,18.7039,18.8796
53,0.554383,12,12,12,12,12.0008,12.0048,12.0176,12.047,12.1011,12.1869,12.3093,12.4712,12.6739,12.9172,13.2,13.5203,13.8761,14.2644,14.6819,15.1247,15.5881,16.0671,16.5568,17.0522,17.5484,17.7134,17.8778,18.0415
54,0.571285,12,12,12,12,12.0005,12.003,12.0116,12.0324,12.0721,12.137,12.2323,12.3611,12.5255,12.7259,12.9622,13.2331,13.5372,13.8724,14.236,14.6249,15.0353,15.4631,15.9039,16.3534,16.8071,16.9586,17.11,17.2612
55,0.588944,12,12,12,12,12.0003,12.0018,12.0075,12.0218,12.0503,12.0986,12.1713,12.2721,12.4032,12.566,12.7608,12.987,13.2438,13.5298,13.8429,14.1809,14.5407,14.9188,15.3117,15.7155,16.1265,16.2643,16.4025,16.5408
56,0.607392,12,12,12,12,12.0001,12.0011,12.0047,12.0144,12.0344,12.0694,12.1239,12.2013,12.3042,12.4344,12.5925,12.7788,12.9929,13.2338,13.5004,13.7908,14.1027,14.4333,14.7799,15.139,15.5074,15.6315,15.7562,15.8815
57,0.626664,12,12,12,12,12.0001,12.0006,12.0029,12.0092,12.0229,12.0478,12.0878,12.1461,12.2254,12.3277,12.4541,12.6052,12.7811,12.9815,13.2055,13.452,13.7192,14.005,14.3072,14.623,14.9498,15.0603,15.1718,15.284
