step,p
1,0.101
2,1.8
3,2.58935006
4,3.431568817
5,4.210368323
6,4.946805567
7,5.652090956
8,6.333087146
9,6.994375407
10,7.639208978
11,8.270001841
12,8.888607505
13,9.2
14,9.496488665
15,9.2
16,8.888607881
17,8.270002224
18,7.639209369
19,6.994375807
20,6.333087557
21,5.652091381
22,4.946806009
23,4.210368786
24,3.431569311
25,2.589350604
26,1.8
27,1.632118124
28,0.101
